Date,Close,High,Low,Open,Volume,Return,MA_7,MA_30,Vol_14,RSI_14,MACD,MACD_Signal,features_assembled,features,cluster,distance,is_anomaly,model_used
2024-03-28,170.52541861342735,171.00199196056712,169.29425438748996,170.25733947753906,65672700,0.007863267369462523,171.2360523999294,174.81429855870653,0.013810430135649112,44.43964201481932,-2.5594244472399623,-2.751094889542582,"[170.52541861342735,65672700.0,0.007863267369462523,174.81429855870653,0.013810430135649112,44.43964201481932,-2.5594244472399623,-2.751094889542582]","[-1.9122993104352788,0.2926776599343947,0.3474069217438333,-1.7324715303020959,-0.3218746593639151,-0.766297508019575,-0.87477249819705,-0.9820934664688487]",3,1.159095013752737,0,kmeans
2024-04-01,169.969420845431,170.02899062252595,168.27160644825386,168.81768798828125,46240500,-0.003260497892438985,170.59352122428368,174.40523591243044,0.01228554679672307,43.36607056181295,-2.483324198166059,-2.6975407512672773,"[169.969420845431,46240500.0,-0.003260497892438985,174.40523591243044,0.01228554679672307,43.36607056181295,-2.483324198166059,-2.6975407512672773]","[-1.9372647829848628,-0.3776814299870287,-0.20077429535764996,-1.751878018973555,-0.46196875279757454,-0.8540628425302351,-0.8546079912925969,-0.9667773500790647]",3,1.2531724045954697,0,kmeans
2024-04-02,167.87446369081778,168.13260444031488,167.0305181193942,167.63616943359375,49329500,-0.012325494457725683,169.46306943548274,173.93064409646772,0.012654391813661134,39.494527403785156,-2.5625205942947673,-2.6705367198727754,"[167.87446369081778,49329500.0,-0.012325494457725683,173.93064409646772,0.012654391813661134,39.494527403785156,-2.5625205942947673,-2.6705367198727754]","[-2.031332778121839,-0.2711191658703936,-0.6474990089039854,-1.7743933006398056,-0.4280822206633501,-1.170564626724705,-0.8755928933918568,-0.9590543822347237]",3,1.4801089273124994,0,kmeans
2024-04-03,167.5865303145986,169.46305411699578,167.37803608655156,168.44039916992188,47691700,-0.0017151707882711031,169.0418045149331,173.50040032211317,0.012653374814648179,38.979451417005166,-2.618335583161894,-2.660096492530599,"[167.5865303145986,47691700.0,-0.0017151707882711031,173.50040032211317,0.012653374814648179,38.979451417005166,-2.618335583161894,-2.660096492530599]","[-2.0442615940521858,-0.3276188991725059,-0.12462028879262353,-1.7948046508547117,-0.42817565440421795,-1.2126725052003875,-0.8903823552146448,-0.9560685487910678]",3,1.4282912693964624,0,kmeans
2024-04-04,169.0758380772312,170.69422114433502,167.6163330078125,167.6163330078125,53704400,0.00888679871727649,169.00208652127563,173.11483542177538,0.012951762241295737,43.11212602856566,-2.513421515504035,-2.6307614971252864,"[169.0758380772312,53704400.0,0.00888679871727649,173.11483542177538,0.012951762241295737,43.11212602856566,-2.513421515504035,-2.6307614971252864]","[-1.9773885341118986,-0.12019678021682705,0.39784673657055053,-1.8130963744785487,-0.40076220252819894,-0.8748230134952777,-0.8625829660220193,-0.9476789412202794]",3,1.305996861598991,0,kmeans
2024-04-05,168.38081863168355,169.1751176568126,167.74538244157907,168.3708953857422,42104800,-0.004110696439252104,168.94392618827789,172.65513615347058,0.012727538793990766,41.693017473853764,-2.4580240505678717,-2.5962140078138036,"[168.38081863168355,42104800.0,-0.004110696439252104,172.65513615347058,0.012727538793990766,41.693017473853764,-2.4580240505678717,-2.5962140078138036]","[-2.008596373222074,-0.520352053394982,-0.24267223757386847,-1.834905133415228,-0.42136206074350563,-0.9908362855159242,-0.8479041367436859,-0.9377985961281899]",3,1.426450820998423,0,kmeans
2024-04-08,167.8248441796421,167.99363029110225,167.04048340873945,167.2489776611328,37425500,-0.0033018870947384427,168.7481906218331,172.12626829673232,0.010235145350836755,40.54333422734863,-2.43096104657198,-2.563163415565439,"[167.8248441796421,37425500.0,-0.0033018870947384427,172.12626829673232,0.010235145350836755,40.54333422734863,-2.43096104657198,-2.563163415565439]","[-2.033560798836102,-0.6817754274580997,-0.20281396293038134,-1.8599953443252775,-0.6503432496550289,-1.0848238206988534,-0.8407331729482791,-0.9283463533337116]",3,1.6012211955448927,0,kmeans
2024-04-09,167.49718091534808,168.86734648560252,167.1496854743383,168.46026611328125,42373800,-0.001952412146697946,168.3155852363932,171.67815321652213,0.010158871066425483,39.84597439590156,-2.4081929585807416,-2.5321693241684993,"[167.49718091534808,42373800.0,-0.001952412146697946,171.67815321652213,0.010158871066425483,39.84597439590156,-2.4081929585807416,-2.5321693241684993]","[-2.0482735705432953,-0.5110722706020474,-0.1363115869769404,-1.8812545336127287,-0.6573507212786771,-1.141833550894135,-0.8347002456834199,-0.9194822556837634]",3,1.551247762223887,0,kmeans
2024-04-10,167.59647195447172,167.88439761067826,165.91851910107465,166.583740234375,49709300,0.0005927923000317303,167.9765925376847,171.2710769324835,0.009773774930865842,40.181741555515046,-2.3549902659101463,-2.496733512516829,"[167.59647195447172,49709300.0,0.0005927923000317303,171.2710769324835,0.009773774930865842,40.181741555515046,-2.3549902659101463,-2.496733512516829]","[-2.043815193451974,-0.25801707849211647,-0.010883439355109088,-1.9005667865562141,-0.692730276303542,-1.1143843140513991,-0.8206029716699027,-0.9093478564925488]",3,1.464610840493767,0,kmeans
2024-04-11,167.13973556457643,174.20898041040104,166.96102623293754,173.79196166992188,91070300,-0.0027252148244467644,167.87163137679312,170.80211026774776,0.00930816627331567,39.10056457341112,-2.322904560408773,-2.461967722095218,"[167.13973556457643,91070300.0,-0.0027252148244467644,170.80211026774776,0.00930816627331567,39.10056457341112,-2.322904560408773,-2.461967722095218]","[-2.064323620752714,1.1688271449226277,-0.17439544639804577,-1.9228152033924555,-0.7355066783463989,-1.2027714067165893,-0.8121011278784537,-0.8994050787795934]",3,1.7792187067063394,0,kmeans
2024-04-12,173.0175179827845,177.08829097776882,172.96788660357228,175.29119873046875,101670900,0.03516687637654625,168.64748675796253,170.57010904743385,0.011200091899854395,55.641982572521165,-1.8024114123622326,-2.330056460148621,"[173.0175179827845,101670900.0,0.03516687637654625,170.57010904743385,0.011200091899854395,55.641982572521165,-1.8024114123622326,-2.330056460148621]","[-1.8003987921639006,1.5345195816318549,1.6929338422038258,-1.933821657036595,-0.5616916731404789,0.14950289222001759,-0.6741845270101361,-0.8616793622213081]",3,2.616649118535651,0,kmeans
2024-04-15,174.10967059769038,175.37061964403054,171.27006200710903,171.45870971679688,73531800,0.006312381703536651,169.3666056894567,170.4314376668896,0.011028648964343178,57.92863711713553,-1.2869540488875373,-2.1214359778964043,"[174.10967059769038,73531800.0,0.006312381703536651,170.4314376668896,0.011028648964343178,57.92863711713553,-1.2869540488875373,-2.1214359778964043]","[-1.7513588360762216,0.5637956560234355,0.27097898822349215,-1.9404004160606378,-0.5774424797844578,0.33643875052400096,-0.537602272796449,-0.8020153345593931]",3,1.5331713181992401,0,kmeans
2024-04-16,170.52544539032877,172.52110890421707,167.0702615685236,168.17234802246094,73711200,-0.020586020265603522,169.67298094069173,170.28581704668133,0.01253546400365281,49.001113220783026,-1.1543606433463367,-1.9280209109863908,"[170.52544539032877,73711200.0,-0.020586020265603522,170.28581704668133,0.01253546400365281,49.001113220783026,-1.1543606433463367,-1.9280209109863908]","[-1.9122981080959245,0.5699844777076454,-1.0545792541847654,-1.9473088564722203,-0.4390083573072857,-0.3933935479421526,-0.5024686080048395,-0.7466999514399218]",3,1.5631234593649508,0,kmeans
2024-04-17,168.4006911997193,169.43326939438705,166.8021697998047,166.8021697998047,50901200,-0.012460041876718009,169.75524480070274,170.2477574311479,0.013009894615310312,44.61190147498476,-1.2068178747989293,-1.7837803037488986,"[168.4006911997193,50901200.0,-0.012460041876718009,170.2477574311479,0.013009894615310312,44.61190147498476,-1.2068178747989293,-1.7837803037488986]","[-2.007704053000045,-0.21689970633264172,-0.6541295306890583,-1.9491144564320637,-0.395421464631191,-0.7522151578399862,-0.5163683549660757,-0.7054481266560794]",3,1.384886776085082,0,kmeans
